6.0099e+13, 1.2039e+14, 0.413351, -1269.5, 225.415, , 0, 0, 0, 0, 0, 0
7.0401e+13, 6.4333e+13, 3.27721, -736.586, 317.728, , 0, 0, 0, 0, 0, 0
1.8418e+14, 1.4165e+14, 4.25615, -598.811, 597.134, , 0, 0, 0, 0, 0, 0
7.9222e+13, 1.0484e+14, 2.0516, -1403.93, 229.949, , 0, 0, 0, 0, 0, 0
1.6186e+14, 7.1389e+13, 0.775071, -1455.23, 309.477, , 0, 0, 0, 0, 0, 0
8.7196e+13, 9.6252e+13, 2.43311, -976.37, 398.897, , 0, 0, 0, 0, 0, 0
8.4468e+13, 6.0946e+13, 3.43554, -214.28, 196.905, , 0, 0, 0, 0, 0, 0
2.2845e+14, 1.4878e+14, 2.80695, -1111.48, 201.209, , 0, 0, 0, 0, 0, 0
6.2286e+13, 7.9434e+13, 2.71675, -925.515, 701.764, , 0, 0, 0, 0, 0, 0
1.4645e+14, 6.4074e+13, 0.162877, -1314.67, 943.958, , 0, 0, 0, 0, 0, 0
1.544e+14, 1.027e+14, 3.73566, -1130.84, 496.434, , 0, 0, 0, 0, 0, 0
8.5009e+13, 1.7938e+14, 4.64796, -626.464, 363.721, , 0, 0, 0, 0, 0, 0
9.764e+13, 6.4803e+13, 2.87017, -1167.06, 131.084, , 0, 0, 0, 0, 0, 0
1.1721e+14, 7.64e+13, 2.63966, -1082.09, 356.266, , 0, 0, 0, 0, 0, 0
1.079e+14, 7.5506e+13, 3.60137, 175.797, 414.571, , 0, 0, 0, 0, 0, 0
7.687e+13, 6.0804e+13, 4.39357, -532.183, 482.136, , 0, 0, 0, 0, 0, 0
1.1488e+14, 8.1457e+13, 1.6102, -1076.46, 518.085, , 0, 0, 0, 0, 0, 0
8.3386e+13, 1.9178e+14, 3.57817, -131.605, 543.662, , 0, 0, 0, 0, 0, 0
6.3486e+13, 6.2921e+13, 1.45948, -927.766, 418.7, , 0, 0, 0, 0, 0, 0
2.5032e+14, 1.249e+14, 4.89229, -1337.93, 560.043, , 0, 0, 0, 0, 0, 0
7.1883e+13, 8.0351e+13, 3.2168, -336.346, 415.77, , 0, 0, 0, 0, 0, 0
