79	0
78	0.03
77	0.046
76	0.081
75	0.103
74	0.106
73	0.114
72	0.117
71	0.125
70	0.129
69	0.136
68	0.14
67	0.148
66	0.152
65	0.16
64	0.164
63	0.172
62	0.176
61	0.185
60	0.189
59	0.198
58	0.202
57	0.211
56	0.215
55	0.224
54	0.229
53	0.238
52	0.247
51	0.266
50	0.271
49	0.285
48	0.295
47	0.316
46	0.326
45	0.348
44	0.359
43	0.381
42	0.393
41	0.404
40	0.416
39	0.429
38	0.441
37	0.453
36	0.466
35	0.479
34	0.493
33	0.506
32	0.52
31	0.534
30	0.548
29	0.563
28	0.577
27	0.592
26	0.608
25	0.623
24	0.639
23	0.656
22	0.672
21	0.689
20	0.706
19	0.724
18	0.742
17	0.761
16	0.779
15	0.799
14	0.818
13	0.838
12	0.887
11	1
10	1.445
7	2.891
6	3.405
5	4.102
4	5.41
3	6.407
2	7.696
1	8.804
